yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_o!S1ulEvFU_5yq_X5SnMIs17r	50 Cent	13	13	['Sam Riley', ' Alice Barrett', ' Gaby Hoffmann', ' Jason Statham']	2010-03-13	2010-03-01	0	No	Yes	No
id_o!S1ulEvFU_5yq_FsB!IoPUEK	50 Cent	Champs	Champs	"['Evander Holyfield', ' Bernard Hopkins', ' Mike Tyson', "" Larry 'Ratso' Sloman""]"	2014-04-19	2015-03-13	0	No	Yes	No
id_0dzmPt6zCD_5yq_Cro4U8?Qgn	Aadhi Pinisetty	Ninnu_Kori	Ninnu Kori	['Nani', ' Nivetha Thomas', ' Aadhi', ' Tanikella Bharani']	2017-06-23	2017-07-07	0	No	Yes	No
id_0dzmPt6zCD_5yq_F5ZG6yM5ho	Aadhi Pinisetty	Ayyanar	Ayyanar	['Aadhi', ' V. Jayaprakash', ' Anupama Kumar', ' Mahadevan']	2010-12-10	2010-12-10	1	No	Yes	No
id_0dzmPt6zCD_5yq_nJ5LVyLx5h	Aadhi Pinisetty	Bhagmati	Bhagmati	['Tabu', ' Milind Soman', ' Somayajulu J.V.', ' Hema Malini']	2017-08-11	2005-06-01	0	No	No	No
id_0dzmPt6zCD_5yq_sAP1GvvQQe	Aadhi Pinisetty	Maragadha_Naanayam	Maragadha Naanayam	['Aadhi', ' Anandraj', ' M.S. Baskar', ' Brahmanandam']	2017-04-12	2017-06-16	0	No	Yes	No
id_0dzmPt6zCD_5yq_mZ07PDAUtZ	Aadhi Pinisetty	Gundello_Godari	Gundello Godari	['Aadhi', ' Sundeep Kishan', ' Lakshmi Manchu', ' Laxmi Manchu']	2013-03-08	2013-03-08	1	No	Yes	No
id_0dzmPt6zCD_5yq_3Oo0uC3HhC	Aadhi Pinisetty	Mirugam	Mirugam	"['Aadhi', ' Padmapriya', ' Sona Heiden', "" 'Ganja' Karuppu""]"	2007-12-14	2007-12-14	1	No	Yes	No
id_0dzmPt6zCD_5yq_46CST22Tw?	Aadhi Pinisetty	Sarrainodu	Sarrainodu	['Allu Arjun', ' Aadhi', ' Rakul Preet Singh', ' Catherine Tresa']	2016-04-22	2016-04-22	1	No	Yes	No
id_0dzmPt6zCD_5yq_etoA?f4PzN	Aadhi Pinisetty	Oka_V_Chitram	Oka V Chitram	['Aadhi', ' Poonam Kaur', ' Madhu Shalini', ' Sudhakar Komakula']	2006	2006-05-19	0	No	Yes	No
id_0dzmPt6zCD_5yq_YfDCIgBg3g	Aadhi Pinisetty	Eeram	Eeram	['Aadhi', ' Nandha', ' Sindhu Menon', ' Saranya Mohan']	2009-09-11	2009-09-09	0	No	Yes	No
id_0dzmPt6zCD_5yq_2bd0afKJSc	Aadhi Pinisetty	Aadu_Puli	Aadu Puli Atham	['Kamal Haasan', ' Rajinikanth', ' Sridevi']	2011-02-18	NaT	0	No	No	No
id_0dzmPt6zCD_5yq_vDqM1UmsSk	Aadhi Pinisetty	Aravaan	Aravaan	['Aadhi', ' Pasupathy', ' Dhansika', ' Archana Kavi']	2012-03-02	2012-03-02	1	No	Yes	No
id_dFxouXuWGF_5yq_cF0lUn02jz	Aadi Telugu actor	Prema_Kavali	Prema Kavali	['Aadi', ' Isha Chawla', ' Dev Gill', ' Nassar']	2011-02-25	2011-02-25	1	No	Yes	No
id_dFxouXuWGF_5yq_xvDeJTJNL!	Aadi Telugu actor	Rough	Rough	['Masami Nagasawa', ' Mokomichi Hayami', ' Tsuyoshi Abe', ' Takuya Ishida']	2014-11-28	2006-08-26	0	No	No	No
